brand,model,weight_g
Acer,Iconia Talk S,260
Acer,Liquid Z6 Plus,169
Acer,Liquid Z6,
Acer,Iconia Tab 10 A3-A40,
Acer,Liquid X2,166
Acer,Liquid Jade 2,
Acer,Liquid Zest Plus,
Acer,Liquid Zest,125
Acer,Predator 8,353.8
Acer,Liquid Jade Primo,150
Acer,Liquid Z330,142
Acer,Liquid Z320,142
Acer,Liquid Z630S,165
Acer,Liquid Z630,165
Acer,Liquid Z530S,145
Acer,Liquid Z530,145
Acer,Liquid M330,142
Acer,Liquid M320,142
Acer,Iconia Tab 10 A3-A30,540
Acer,Iconia One 8 B1-820,355
Acer,Iconia Tab A3-A20,508
Acer,Iconia Tab A3-A20FHD,508
Acer,Liquid Jade Z,110
Acer,Liquid Z520,118
Acer,Liquid Z220,120
Acer,Liquid M220,119
Acer,Liquid Z410,145
Acer,Liquid Jade S,116
Acer,Liquid Z500,150
Acer,Liquid X1,164
Acer,Liquid Jade,110
Acer,Liquid E700,155
Acer,Liquid E600,155
Acer,Liquid Z200,130
Acer,Iconia Tab 8 A1-840FHD,360
Acer,Iconia Tab 7 A1-713,298
Acer,Iconia Tab 7 A1-713HD,298
Acer,Iconia One 7 B1-730,
Acer,Liquid E3 Duo Plus,
Acer,Liquid E3,134
Acer,Liquid Z4,122
Acer,Iconia B1-721,323
Acer,Iconia B1-720,315
Acer,Iconia A1-830,380
Acer,Liquid Z5,150
Acer,Liquid S2,229
Acer,Liquid Z3,120
Acer,Liquid S1,195
Acer,Iconia Tab A3,560
Acer,Iconia Tab A1-811,430
Acer,Iconia Tab A1-810,410
Acer,Liquid E2,140
Acer,Liquid Z2,110
Acer,Liquid C1,140
Acer,Liquid E1,130
Acer,Iconia Tab B1-710,339.9
Acer,Iconia Tab B1-A71,320
Acer,Iconia Tab A110,390
Acer,Liquid Z110,100
Acer,Liquid Gallant E350,145
Acer,Liquid Gallant Duo,145
Acer,Liquid Glow E330,125
Acer,CloudMobile S500,
Acer,Iconia Tab A210,685
Acer,Iconia Tab A200,700
Acer,Iconia Tab A701,667
Acer,Iconia Tab A700,665
Acer,Iconia Tab A511,777
Acer,Iconia Tab A510,680
Acer,Allegro,126
Acer,Liquid Express E320,138
Acer,Iconia Tab A501,777
Acer,Iconia Smart,185
Acer,Iconia Tab A500,730
Acer,Iconia Tab A101,470
Acer,Iconia Tab A100,450
Acer,Liquid mini E310,108
Acer,beTouch E210,109
Acer,beTouch E140,95
Acer,beTouch T500,130
Acer,Liquid mt,135
Acer,beTouch E130,109
Acer,beTouch E120,105
Acer,Stream,140
Acer,Liquid E,135
Acer,neoTouch P400,125
Acer,beTouch E400,125
Acer,neoTouch P300,130.6
Acer,beTouch E110,105
Acer,Liquid,135
Acer,neoTouch,130
Acer,beTouch E200,146
Acer,beTouch E100,118
Acer,beTouch E101,118
Acer,DX650,133
Acer,M900,188
Acer,F900,150
Acer,X960,131.5
Acer,DX900,147
alcatel,Flash (2017),155
alcatel,U5,
alcatel,A5 LED,
alcatel,A3,
alcatel,A3 XL,
alcatel,Shine Lite,156
alcatel,Pixi 4 Plus Power,202
alcatel,Fierce 4,163.9
alcatel,X1,140
alcatel,Pixi 4 (5),148
alcatel,Flash Plus 2,157
alcatel,POP 7 LTE,295.1
alcatel,Pop 4S,
alcatel,Pop 4+,
alcatel,Pop 4,
alcatel,Idol 4s Windows,152
alcatel,Idol 4s,149
alcatel,Idol 4,135
alcatel,Fierce XL (Windows),174
alcatel,CareTime,
alcatel,Pixi 4 (7),
alcatel,Pixi 4 (6) 3G,179
alcatel,Pixi 4 (6),
alcatel,Pixi 4 (4),
alcatel,Pixi 4 (3.5),
alcatel,Pixi 3 (8) LTE,
alcatel,Pop 3 (5.5),174
alcatel,Pop 3 (5),167
alcatel,Fierce XL,173
alcatel,Watch,
alcatel,GO Watch,
alcatel,Flash 2,140
alcatel,10.16G,63
alcatel,2007,72
alcatel,Idol 3C,
alcatel,Pixi 3 (10),
alcatel,Pixi First,
alcatel,Pop Up,
alcatel,Pop Star LTE,
alcatel,Pop Star,
alcatel,Go Play,
alcatel,Flash Plus,147
alcatel,Pop Astro,144.9
alcatel,Flash,
alcatel,Idol 3 (5.5),141
alcatel,Idol 3 (4.7),110
alcatel,Orange Klif,
alcatel,Pixi 3 (5.5) LTE,
alcatel,Pixi 3 (5.5),
alcatel,Pixi 3 (8) 3G,335
alcatel,Pixi 3 (7) LTE,260
alcatel,Pixi 3 (7) 3G,260
alcatel,Pixi 3 (7),260
alcatel,POP 10,380
alcatel,Pixi 3 (5),
alcatel,Pixi 3 (4.5),125
alcatel,Pixi 3 (4),110
alcatel,Pixi 3 (3.5) Firefox,98
alcatel,Pixi 3 (3.5),100
alcatel,Pop D3,114
alcatel,Pop D1,101
alcatel,Pop Icon,149
alcatel,Fire C 2G,93
alcatel,Pop 2 (5) Premium,151
alcatel,Pop 2 (5),170
alcatel,Pop 2 (4),125
alcatel,Pop 2 (4.5) Dual SIM,147
alcatel,Pop 2 (4.5),147
alcatel,Fierce 2,149.1
alcatel,Evolve 2,121.1
alcatel,POP 8S,327
alcatel,Hero 8,310
alcatel,Hero 2,175
alcatel,Pixi 2,100
alcatel,Pop D5,150
alcatel,Pop C2,116
alcatel,Pixi 8,325
alcatel,2012,98
alcatel,2010,95
alcatel,2052,74
alcatel,2040,77.9
alcatel,2005,85
alcatel,POP 7S,279
alcatel,Pixi 7,285
alcatel,Pop S9,182
alcatel,Pop S7,162
alcatel,Pop S3,130
alcatel,Fire 7,285
alcatel,Fire S,126
alcatel,Fire E,103
alcatel,Fire C,100
alcatel,Idol 2 S,126
alcatel,Idol 2,128
alcatel,Idol 2 Mini S,116
alcatel,Idol 2 Mini,110
alcatel,Pop Fit,78
alcatel,2001,89
alcatel,2000,89
alcatel,Idol X+,125
alcatel,Pop C9,189
alcatel,POP 8,325
alcatel,POP 7,285
alcatel,Fierce,130
alcatel,Evolve,136.5
alcatel,Pop C7,162
alcatel,Pop C5,157
alcatel,Pop C3,110
alcatel,Pop C1,100
alcatel,Idol Alpha,117.4
alcatel,One Touch Evo 8HD,415
alcatel,Hero,177.6
alcatel,Idol S,110
alcatel,Idol Mini,96
alcatel,One Touch T10,340
alcatel,One Touch Snap LTE,
alcatel,One Touch Pixi,118
alcatel,One Touch Snap,
alcatel,Idol X,130
alcatel,One Touch Fire,108
alcatel,One Touch Star,
alcatel,One Touch Scribe Easy,163
alcatel,One Touch Evo 7,390
alcatel,One Touch Evo 7 HD,350
alcatel,One Touch Tab 8 HD,400
alcatel,One Touch Tab 7,350
alcatel,One Touch Tab 7 HD,350
alcatel,One Touch Idol Ultra,115
alcatel,One Touch Idol,109
alcatel,One Touch T'Pop,118
alcatel,One Touch S'Pop,122
alcatel,One Touch M'Pop,136.5
alcatel,One Touch X'Pop,139
alcatel,One Touch Scribe HD-LTE,135
alcatel,One Touch Scribe X,
alcatel,One Touch Scribe HD,135
alcatel,View,
alcatel,OT-983,136
alcatel,OT-997D,143
alcatel,OT-997,143
alcatel,OT-992D,
alcatel,OT-978,144.5
alcatel,OT-988 Shockwave,155
alcatel,OT-993,150
alcatel,OT-903,114
alcatel,OT-838,101
alcatel,OT-668,76
alcatel,OT-605,
alcatel,OT-986,
alcatel,OT-991,131.3
alcatel,OT-916,126
alcatel,OT-720,93
alcatel,OT-902,103.2
alcatel,OT-819 Soul,103
alcatel,OT-870,126.8
alcatel,OT-595,101
alcatel,OT-358,76
alcatel,OT-310,76
alcatel,OT-318D,71
alcatel,OT-317D,71
alcatel,OT-308,69
alcatel,OT-282,88
alcatel,OT-292,67
alcatel,OT-228,63
alcatel,OT-915,123.4
alcatel,OT-985,136
alcatel,OT-810D,93.8
alcatel,OT-810,93.8
alcatel,OT-906,103
alcatel,OT-995,124
alcatel,OT-990,144
alcatel,OT-910,
alcatel,OT-908F,120
alcatel,OT-908,120
alcatel,OT-905,96.4
alcatel,OT-900,
alcatel,OT-891 Soul,100
alcatel,OT-918,123
alcatel,OT-918D,123
alcatel,OT-890D,100.7
alcatel,OT-890,100.7
alcatel,OT-888,146
alcatel,OT-818,100.5
alcatel,OT-813F,102.5
alcatel,OT-813D,101
alcatel,OT-807,105
alcatel,OT-803,102.5
alcatel,OT-799 Play,100.6
alcatel,OT-690,
alcatel,OT-665,77
alcatel,OT-602,
alcatel,OT-585,87
alcatel,OT-506,80
alcatel,OT-385,85
alcatel,OT-361,74
alcatel,OT-355,80
alcatel,OT-330,
alcatel,OT-306,80
alcatel,OT-223,70
alcatel,OT-217,62
alcatel,OT-213,66
alcatel,OT-209,68
alcatel,OT-117,61
alcatel,OT-113,67
alcatel,OT-112,67
alcatel,OT-109,65
alcatel,OT-105,65
alcatel,OT-706,80
alcatel,Net,102
alcatel,OT-808,113
alcatel,OT-606 One Touch CHAT,109.2
alcatel,OT-255,76
alcatel,OT-252,
alcatel,OT-710,85
alcatel,OT-108,65
alcatel,OT-216,60
alcatel,OT-206,60
alcatel,OT-909 One Touch MAX,105
alcatel,Miss Sixty,120
alcatel,OT-880 One Touch XTRA,118
alcatel,OT-208,65
alcatel,OT-301,69
alcatel,OT-300,66
alcatel,OT-980,152
alcatel,OT-806,105
alcatel,OT-802 Wave,103
alcatel,OT-305,67.4
alcatel,OT-380,90
alcatel,OT-505,69.6
alcatel,OT-508A,69.6
alcatel,OT-565,69.6
alcatel,OT-106,60
alcatel,OT-800 One Touch CHROME,102
alcatel,OT-800 One Touch Tribe,103
alcatel,OT-708 One Touch MINI,82
alcatel,OT-660,82
alcatel,OT-383,73
alcatel,OT-203,63
alcatel,OT-103,63
alcatel,OT-600,90
alcatel,Crystal,85
alcatel,Miss Sixty 2009,85
alcatel,ELLE GlamPhone,85
alcatel,OT-363,73
alcatel,Roadsign,83
alcatel,OT-303,66
alcatel,OT-222,71
alcatel,OT-280,88
alcatel,OT-202,69
alcatel,OT-S121,60
alcatel,OT-111,60
alcatel,OT-102,69
alcatel,Mandarina Duck Moon,83
alcatel,Mandarina Duck,83
alcatel,OT-I650 SPORT,75
alcatel,OT-I650 PRO,75
alcatel,OT-V770,75
alcatel,OT-V670,83
alcatel,OT-V607A,83
alcatel,OT-V570,78
alcatel,OT-V270,70
alcatel,OT-V212,
alcatel,OT-S626A,83
alcatel,OT-S521A,83
alcatel,OT-S520,69
alcatel,OT-S621,69
alcatel,OT-S920,90
alcatel,OT-S320,90
alcatel,OT-S319,90
alcatel,OT-S218,70
alcatel,OT-S215A,70
alcatel,OT-S211,60
alcatel,OT-S210,70
alcatel,OT-S120,
alcatel,OT-S107,69
alcatel,ELLE No 3,99
alcatel,OT-C825,99
alcatel,OT-C717,85
alcatel,OT-C707,83
alcatel,OT-C701,83
alcatel,OT-C700A,83
alcatel,OT-C507,75
alcatel,OT-E227,70
alcatel,OT-E225,81
alcatel,OT-E221,70
alcatel,OT-E207,69
alcatel,OT-E205,80
alcatel,OT-E201,69
alcatel,OT-E101,69
alcatel,Lollipops,84
alcatel,OT-E220,81
alcatel,OT-E805,80
alcatel,OT-E230,83
alcatel,OT-C635,85
alcatel,OT-C630,85
alcatel,OT-E801,76
alcatel,OT-E100,76
alcatel,OT-C550,85
alcatel,OT-E265,90
alcatel,OT-E105,76
alcatel,OT-E260,90
alcatel,OT-C750,85
alcatel,OT-S853,93
alcatel,OT-S850,108
alcatel,OT-C560,85
alcatel,OT-C555,80
alcatel,OT-C552,88
alcatel,OT-C551,80
alcatel,OT-C656,83
alcatel,OT-C652,90
alcatel,OT-C651,92
alcatel,OT-E259,75
alcatel,OT-E256,75
alcatel,OT-E257,77
alcatel,OT-E160,77
alcatel,OT-E252,76
alcatel,OT-E159,77
alcatel,OT-E158,78
alcatel,OT-E157,76
alcatel,OT 757,92
alcatel,OT 355,80
alcatel,OT 156,80
alcatel,OT 155,85
alcatel,OT 153,89
alcatel,OT 756,92
alcatel,OT 557,93
alcatel,OT 565,93
alcatel,OT 556,93
alcatel,OT 835,88
alcatel,OT 735i,89
alcatel,OT 735,89
alcatel,OT 535,88
alcatel,OT 531,95
alcatel,OT 332,77
alcatel,OT 331,77
alcatel,OT 526,75
alcatel,OT 320,80
alcatel,OT 525,75
alcatel,OT 715,88
alcatel,OT 512,75
alcatel,OT 311,99
alcatel,OT 511,75
alcatel,OT 700,88
alcatel,OT 500,103
alcatel,OT 300,103
alcatel,OT View db @,150
alcatel,OT Pocket,125
alcatel,OT View db,150
alcatel,OT Max db,150
alcatel,OT Easy db,150
alcatel,OT Gum db,150
alcatel,OT Club db,150
alcatel,OT COM,230
alcatel,OT Pro,145
alcatel,OT Easy HF,160
alcatel,OT Easy,160
alcatel,OT Club,160
alcatel,OT Club +,160
alcatel,OT Max,160
alcatel,OT View,160
alcatel,HC 1000,172
Allview,X4 Soul Mini,144
Allview,X4 Soul Style,181
Allview,P6 Energy Mini,175
Allview,X4 Soul,167.5
Allview,Allwatch,40
Allview,V2 Viper Xe,178
Allview,V2 Viper S,141.6
Allview,P9 Energy mini,181
Allview,P9 Energy Lite,174
Allview,P9 Energy,183
Allview,P7 Pro,165
Allview,X3 Soul Style,162.2
Allview,X3 Soul Plus,175
Allview,X3 Soul Lite,142.7
Allview,P6 Energy Lite,175
Allview,AX501Q,253.6
Allview,Viva H1001 LTE,510
Allview,V2 Viper i4G,144.5
Allview,V2 Viper e,133.2
Allview,P6 Lite,138
Allview,X3 Soul Pro,144
Allview,X3 Soul mini,129
Allview,P8 Energy Pro,209.8
Allview,P6 eMagic,138
Allview,P5 eMagic,105
Allview,P4 eMagic,105
Allview,X3 Soul,147.6
Allview,X2 Soul Style + Platinum,128
Allview,X2 Soul Style,128
Allview,X2 Soul Lite,137
Allview,V2 Viper X+,155.3
Allview,V2 Viper X,155.3
Allview,V2 Viper,143
Allview,V2 Viper i,153
Allview,P8 Energy mini,200
Allview,P5 Pro,118.5
Allview,AX4 Nano Plus,300
Allview,Viva C701,296
Allview,P6 Pro,154
Allview,P8 Energy,212
Allview,P5 Energy,156.5
Allview,E4,130
Allview,E4 Lite,128
Allview,E3 Living,135.5
Allview,A5 Easy,121
Allview,E2 Jump,152
Allview,E3 Sign,161.9
Allview,P4 Life,125.2
Allview,P5 Life,127
Allview,P6 Energy,176.6
Allview,Viper E,122.5
Allview,Viper L,
Allview,V1 Viper i4G,149.9
Allview,V1 Viper S4G,124.7
Allview,X2 Soul Pro,126.5
Allview,W1i,98.9
Allview,W1s,156.2
Allview,X2 Xtreme,204.4
Allview,P6 Life,147.3
Allview,C5 Smiley,118.5
Allview,C6 Quad 4G,150
Allview,E2 Living,119.8
Allview,Twin X2,149.7
Allview,P7 Seon,146.4
Allview,X1 Xtreme Mini,139.2
Allview,X2 Soul Mini,97
Allview,Impera M,110
Allview,Impera S,156.2
Allview,Impera i,98.9
Allview,A6 Quad,118.7
Allview,X2 Soul,129
Allview,P7 Xtreme,143.1
Allview,X1 Xtreme,150.5
Allview,V1 Viper S,143.5
Allview,Wi10N PRO,625.7
Allview,Wi8G,351
Allview,Wi7,283.7
Allview,Viva i10G,588.7
Allview,Viva H10 HD,
Allview,Viva H10 LTE,510.2
Allview,Viva H8 LTE,324.4
Allview,Viva H7S,277.6
Allview,Viva H7 LTE,265
Allview,Viva D8,367
Allview,AX4 Nano,256.2
Allview,AX3 Party,337.4
Allview,Viva i8,312.5
Allview,Viva Q7 Life,402
Allview,3 Speed Quad HD,645.4
Allview,City Life,282
Allview,2 Speed Quad,472.4
Allview,City+,289
Allview,Viva H8,374
Allview,Viva Q8,357
Allview,Start M7,80
Allview,P6 Quad Plus,131.9
Allview,A5 Quad,
Allview,P5 Symbol,
Allview,X1 Soul Mini,147.7
Allview,X1 Soul,129.4
Allview,A4 Duo,
Allview,A5 Duo,137.7
Allview,H2 Qubo,142
Allview,Viper i V1,143
Allview,Viper V1,124.9
Allview,P5 Qmax,176.9
Allview,P6 Quad,131.9
Allview,Simply S5,
Allview,A4ALL,122.7
Allview,P5 Quad,140.7
Allview,P6 Stony,131.3
Allview,P4 Duo,118.4
Allview,P5 Mini,162.2
Allview,P5 AllDro,134.3
Allview,P4 AllDro,118.4
Allview,P3 AllDro,135.5
Allview,P2 AllDro,124.6
Allview,P1 AllDro,119
Allview,L4 Class,84.6
Allview,M6 Stark,52
Amazon,Fire HD 10,432
Amazon,Fire HD 8,311
Amazon,Fire 7,313
Amazon,Fire HDX 8.9 (2014),375
Amazon,Fire HD 7,337
Amazon,Fire HD 6,290
Amazon,Fire Phone,160
Amazon,Kindle Fire HDX 8.9,374
Amazon,Kindle Fire HDX,303
Amazon,Kindle Fire HD (2013),345
Amazon,Kindle Fire HD 8.9 LTE,575
Amazon,Kindle Fire HD 8.9,567
Amazon,Kindle Fire HD,395
Amazon,Kindle Fire,413
Amoi,E860,
Amoi,E78,
Amoi,E76,
Amoi,E72,
Amoi,WMA8701A,
Amoi,WMA8703,
Amoi,WMA8508,
Amoi,CMA8170,
Amoi,M33,
Amoi,A203,
Amoi,A200,
Amoi,A102,
Amoi,A100,75
Amoi,A10,
Amoi,E850,108
Amoi,V810,128
Amoi,H815,106
Amoi,H812,106
Amoi,H810,106
Amoi,H802,130
Amoi,H801,129
Amoi,H8,128
Amoi,H80,128
Amoi,A675,101.4
Amoi,M636,97
Amoi,A865,125
Amoi,A869,92.5
Amoi,6201,80
Amoi,M360,88.6
Amoi,M650,94
Amoi,M630,97
Amoi,F620,80
Amoi,A320,80
Amoi,F320,76
Amoi,A310,62
Amoi,A211,84
Amoi,A210,84
Amoi,2561,80
Amoi,CS6,80
Amoi,2560,80
Amoi,A90,83
Amoi,F99b,80
Amoi,A9B,80
Amoi,CA8,80
Amoi,CA6,80
Amoi,A90B,80
Amoi,S6,80
Apple,iPad Pro 12.9,677
Apple,iPad Pro 10.5,469
Apple,iPad 9.7,469
Apple,Watch Edition Series 2 42mm,45.6
Apple,Watch Edition Series 2 38mm,39.6
Apple,Watch Series 2 42mm,52.4
Apple,Watch Series 2 38mm,41.9
Apple,Watch Series 2 Sport 42mm,34.2
Apple,Watch Series 1 Sport 42mm,30
Apple,Watch Series 2 Sport 38mm,28.2
Apple,Watch Series 1 Sport 38mm,25
Apple,iPhone 7 Plus,188
Apple,iPhone 7,138
Apple,iPad Pro 9.7,437
Apple,iPhone SE,113
Apple,iPhone 6s Plus,192
Apple,iPhone 6s,143
Apple,iPad Pro,713
Apple,iPad mini 4,299
Apple,Watch Edition 42mm,69
Apple,Watch Edition 38mm,55
Apple,Watch 42mm,50
Apple,Watch 38mm,40
Apple,Watch Sport 42mm,30
Apple,Watch Sport 38mm,25
Apple,iPad Air 2,437
Apple,iPad mini 3,331
Apple,iPhone 6 Plus,172
Apple,iPhone 6,129
Apple,iPad Air,469
Apple,iPad mini 2,331
Apple,iPhone 5s,112
Apple,iPhone 5c,132
Apple,iPad mini Wi-Fi,308
Apple,iPad mini Wi-Fi + Cellular,312
Apple,iPad 4 Wi-Fi,652
Apple,iPad 4 Wi-Fi + Cellular,662
Apple,iPhone 5,112
Apple,iPad 3 Wi-Fi + Cellular,662
Apple,iPad 3 Wi-Fi,652
Apple,iPhone 4s,140
Apple,iPad 2 Wi-Fi + 3G,607
Apple,iPad 2 Wi-Fi,601
Apple,iPad 2 CDMA,607
Apple,iPhone 4,137
Apple,iPhone 4 CDMA,137
Apple,iPad Wi-Fi + 3G,730
Apple,iPad Wi-Fi,680
Apple,iPhone 3GS,135
Apple,iPhone 3G,133
Apple,iPhone,135
Archos,50 Saphir,
Archos,55 Graphite,
Archos,50 Graphite,160
Archos,55b Cobalt,188
Archos,50b Cobalt,160
Archos,Diamond 2 Plus,193
Archos,55 Cobalt Plus,130
Archos,50 Cobalt,135
Archos,Diamond Plus,160
Archos,Diamond S,118
Archos,50d Helium 4G,154
Archos,50b Helium 4G,160
Archos,50 Diamond,142
Archos,40 Cesium,
Archos,45c Platinum,138
Archos,40c Titanium,110
Archos,50b Platinum,160
Archos,80 Helium 4G,
Archos,64 Xenon,232
Archos,50c Oxygen,140
Archos,40b Titanium,115
Archos,50 Helium 4G,160
Archos,45 Helium 4G,140
Archos,50 Oxygen,130
Archos,53 Platinum,189.9
Archos,50 Platinum,160.2
Archos,45 Platinum,150
Archos,53 Titanium,200
Archos,50 Titanium,160
Archos,45 Titanium,152
Archos,40 Titanium,124
Asus,Zenpad 3 8.0 Z582KL,
Asus,Zenfone Go ZB552KL,168
Asus,Zenfone Live ZB501KL,120
Asus,Zenfone 3s Max ZC521TL,175
Asus,Zenpad 3S 10 Z500KL,490
Asus,Zenfone AR ZS571KL,170
Asus,Zenfone 3 Zoom ZE553KL,170
Asus,Zenfone Go ZB690KG,270
Asus,Zenpad 3 8.0 Z581KL,320
Asus,Zenfone Go ZB500KL,150
Asus,Zenfone 3 Max ZC553KL,175
Asus,Zenfone 3 Deluxe 5.5 ZS550KL,151
Asus,Zenpad Z10 ZT500KL,490
Asus,Zenwatch 3 WI503Q,48
Asus,Zenpad 3S 10 Z500M,430
Asus,Zenfone 3 Max ZC520TL,148
Asus,Zenfone 3 Laser ZC551KL,150
Asus,Zenfone 3 ZE520KL,144
Asus,Zenfone Pegasus 3,158.4
Asus,Zenpad Z8,320.1
Asus,Zenfone 3 Ultra ZU680KL,233
Asus,Zenfone 3 Deluxe ZS570KL,170
Asus,Zenfone 3 ZE552KL,155
Asus,Zenfone Max ZC550KL (2016),202
Asus,Zenfone Go ZB450KL,135
Asus,Zenfone Go ZB452KG,125
Asus,Zenfone Go ZB551KL,160
Asus,Zenfone Go T500,153
Asus,Zenfone Go ZC451TG,133.5
Asus,Live G500TG,140
Asus,Zenwatch 2 WI501Q,
Asus,Zenwatch 2 WI502Q,
Asus,Zenwatch WI500Q,75
Asus,Zenfone 2 Laser ZE551KL,170.1
Asus,Zenfone Zoom ZX551ML,185
Asus,Zenpad 8.0 Z380M,350
Asus,Zenpad 10 Z300M,490
Asus,Zenpad 10 Z300C,510
Asus,Zenfone Go ZC500TG,135
Asus,Zenfone Max ZC550KL,202
Asus,Zenfone 2 Deluxe ZE551ML,170
Asus,Zenfone 2 Laser ZE601KL,190
Asus,Zenfone 2 Laser ZE600KL,190
Asus,Zenfone 2 Laser ZE550KL,170
Asus,Zenfone 2 Laser ZE500KG,140
Asus,Zenfone 2 Laser ZE500KL,140
Asus,Zenpad 7.0 Z370CG,272
Asus,Zenfone 2E,155.1
Asus,Pegasus 2 Plus,156
Asus,Zenpad S 8.0 Z580CA,298
Asus,Zenpad S 8.0 Z580C,317
Asus,Zenpad 8.0 Z380KL,350
Asus,Zenpad 8.0 Z380C,350
Asus,Zenpad C 7.0 Z170MG,275
Asus,Zenpad C 7.0,265
Asus,Zenfone Selfie ZD551KL,170
Asus,Zenfone 2 ZE500CL,155
Asus,Zenfone 2 ZE550ML,170
Asus,Zenfone 2 ZE551ML,170
Asus,Fonepad 7 FE375CL,299
Asus,Zenfone C ZC451CG,150
Asus,Fonepad 7 FE171CG,280
Asus,Zenfone Zoom ZX550,185
Asus,Pegasus,140
Asus,Zenfone 5 Lite A502CG,160
Asus,Memo Pad 10 ME103K,525
Asus,PadFone X mini,148.8
Asus,Memo Pad 7 ME572CL,279
Asus,Memo Pad 7 ME572C,269
Asus,Zenfone 5 A500KL,145
Asus,Zenfone 4 A450CG,134
Asus,Memo Pad 8 ME581CL,299
Asus,Memo Pad 8 ME181C,320
Asus,Memo Pad 7 ME176C,295
Asus,Fonepad 8 FE380CG,328
Asus,Fonepad 7 FE375CXG,299
Asus,Fonepad 7 FE375CG,299
Asus,Transformer Pad TF303CL,595
Asus,Transformer Pad TF103C,550
Asus,Fonepad 7 (2014),290
Asus,PadFone X,150
Asus,PadFone S,150
Asus,PadFone Infinity Lite,145
Asus,PadFone E,126
Asus,Zenfone 6 A601CG,196
Asus,Zenfone 6 A600CG,196
Asus,Zenfone 5 A501CG,145
Asus,Zenfone 5 A500CG,145
Asus,Zenfone 4,115
Asus,PadFone mini 4G (Intel),150
Asus,PadFone mini (Intel),116
Asus,PadFone mini,105
Asus,Transformer Book Trio,
Asus,PadFone Infinity 2,145
Asus,Memo Pad 10,522
Asus,Memo Pad 8 ME180A,350
Asus,Fonepad 7,328
Asus,Google Nexus 7 (2013),290
Asus,Fonepad Note FHD6,210
Asus,Transformer Pad TF701T,585
Asus,Memo Pad FHD10,580
Asus,Memo Pad HD7 8 GB,302
Asus,Memo Pad HD7 16 GB,302
Asus,Fonepad,340
Asus,PadFone Infinity,141
Asus,Memo Pad Smart 10,580
Asus,Memo Pad ME172V,370
Asus,Google Nexus 7 Cellular,347
Asus,VivoTab RT TF600T,525
Asus,PadFone 2,135
Asus,Google Nexus 7,340
Asus,Transformer Pad Infinity 700 LTE,625
Asus,Transformer Pad Infinity 700 3G,598
Asus,Transformer Pad TF300TG,635
Asus,Transformer Pad TF300T,635
Asus,Transformer Pad Infinity 700,598
Asus,Memo,389
Asus,Transformer Prime TF700T,598
Asus,Transformer Prime TF201,586
Asus,PadFone,129
Asus,P835,148
Asus,Transformer TF101,680
Asus,E600,
Asus,P565,120
Asus,P552w,105
Asus,P320,105
Asus,M930,158
Asus,P550,188
Asus,P750,130
Asus,P527,125
Asus,Z801,110
Asus,J502,120
Asus,V88i,80
Asus,M530w,135
Asus,P526,115
Asus,J501,100
Asus,P735,143
Asus,Z810,110
Asus,P535,145
Asus,P525,160
Asus,P505,165
Asus,M303,87
Asus,M307,92
Asus,M310,110
Asus,V80,80
Asus,V75,90
Asus,V66,90
Asus,V55,90
Asus,Zenfone Pegasus 3s,
Asus,Zenfone Zoom S,
AT&T,Quickfire,136
AT&T,SMT5700,
AT&T,Mustang,110
AT&T,8525,176
Benefon,TWIG Discovery Pro,128
Benefon,TWIG Discovery,128
Benefon,Q,89
Benefon,Track,149
Benefon,Twin+,105
Benefon,Twin,105
Benefon,Esc!,150
Benefon,iO,167
Benefon,Vega,190
BenQ,F52,142
BenQ,B502,125
BenQ,T3,128
BenQ,F5,135
BenQ,F3,119
BenQ,A3,135
BenQ,E55,95
BenQ,C36,78
BenQ,E53,90
BenQ,T60,80
BenQ,M7,93
BenQ,E72,90
BenQ,C30,77
BenQ,T51,85.5
BenQ,T33,85
BenQ,EL71,94
BenQ,M580,95
BenQ,U700,135
BenQ,Z2,106
BenQ,M315,86
BenQ,M220,86
BenQ,S80,110
BenQ,A520,96
BenQ,M350,85
BenQ,A500,98
BenQ,S680C,80
BenQ,P50,170
BenQ,P31,150
BenQ,P30,150
BenQ,S700,90
BenQ,M300,86
BenQ,M100,86
BenQ,S670C,80
BenQ,S660C,75
BenQ,M775C,85
BenQ-Siemens,SF71,118
BenQ-Siemens,E52,122
BenQ-Siemens,C32,82
BenQ-Siemens,C31,86
BenQ-Siemens,SL80,99
BenQ-Siemens,AL26,80
BenQ-Siemens,A53,68
BenQ-Siemens,SL91,109
BenQ-Siemens,E81,90
BenQ-Siemens,E71,80
BenQ-Siemens,EF61,99
BenQ-Siemens,M81,96
BenQ-Siemens,A58,85
BenQ-Siemens,A38,90
BenQ-Siemens,EF71,100
BenQ-Siemens,P51,170
BenQ-Siemens,EL71,94
BenQ-Siemens,CL71,115
BenQ-Siemens,CF61,99
BenQ-Siemens,C81,90
BenQ-Siemens,E61,88
BenQ-Siemens,EF91,100
BenQ-Siemens,S81,99
BenQ-Siemens,EF51,95
BenQ-Siemens,EF81,110
BenQ-Siemens,S88,105
BenQ-Siemens,S68,78.5
Bird,M32,84
Bird,D636,98.4
Bird,D706,84
Bird,D615,82
Bird,S768,75
Bird,S758,73
Bird,S618,73
Bird,D736,96
Bird,D716,81
Bird,D720,93
Bird,D611,71.4
Bird,D515,75
Bird,D612,71.4
Bird,M29,90
Bird,M01,75
Bird,M07,80
Bird,S1130,75
Bird,V5518+,80
Bird,S663,80
Bird,S661,80
