,brand,model,weight_g
2259,Huawei,P9,144
2260,Huawei,Honor Holly 2 Plus,160
2261,Huawei,MediaPad M2 10.0,500
2262,Huawei,Watch,
2263,Huawei,Enjoy 5s,135
2264,Huawei,Mate 8,185
2265,Huawei,G7 Plus,167
2266,Huawei,Honor 5X,158
2267,Huawei,Y6 Pro,160
2268,Huawei,Nexus 6P,178
2269,Huawei,Mate S,156
2270,Huawei,Honor 7i,160
2271,Huawei,Y6,125
2272,Huawei,G8,
2273,Huawei,Honor 7,157
2274,Huawei,MediaPad M2 8.0,330
2275,Huawei,Honor Bee,
2276,Huawei,Y560,141.5
2277,Huawei,Y625,160
2278,Huawei,Honor 4C,162
2279,Huawei,P8lite ALE-L04,131
2280,Huawei,P8lite,131
2281,Huawei,P8max,228
2282,Huawei,P8,144
2283,Huawei,SnapTo,150
2284,Huawei,MediaPad X2,239
2285,Huawei,Y635,178
2286,Huawei,Y360,118
2287,Huawei,Ascend Y540,
2288,Huawei,Ascend G628,
2289,Huawei,Ascend Y520,150
2290,Huawei,Ascend Y221,130
2291,Huawei,Ascend GX1,173
2292,Huawei,Honor 6 Plus,165
2293,Huawei,Ascend Mate7 Monarch,185
2294,Huawei,Honor 4X,165
2295,Huawei,Honor Holly,156
2296,Huawei,MediaPad T1 10,433
2297,Huawei,MediaPad T1 8.0,360
2298,Huawei,MediaPad T1 7.0,
2299,Huawei,Honor 4 Play,160
2300,Huawei,Ascend G620s,160
2301,Huawei,Ascend Y550,153
2302,Huawei,Ascend G7,165
2303,Huawei,Ascend P7 Sapphire Edition,124
2304,Huawei,Ascend Mate7,185
2305,Huawei,Honor 3C Play,156
2306,Huawei,Honor 6,130
2307,Huawei,Honor 3X Pro,162
2308,Huawei,Honor 3C 4G,140
2309,Huawei,Ascend G535,145
2310,Huawei,Y300II,
2311,Huawei,Ascend G630,160
2312,Huawei,Ascend Y330,126
2313,Huawei,Ascend Plus,136.1
2314,Huawei,Ascend P7,124
2315,Huawei,Ascend P7 mini,115
2316,Huawei,Ascend G730,180
2317,Huawei,Ascend Y600,180
2318,Huawei,MediaPad 10 Link+,620
2319,Huawei,Ascend G6 4G,115
2320,Huawei,Ascend G6,115
2321,Huawei,MediaPad M1,329
2322,Huawei,MediaPad X1,239
2323,Huawei,Ascend Y530,145
2324,Huawei,MediaPad 7 Youth2,350
2325,Huawei,Ascend P6 S,120
2326,Huawei,Ascend Mate2 4G,202
2327,Huawei,Ascend Y320,123
2328,Huawei,Ascend Y220,130
2329,Huawei,Honor 3X G750,162
2330,Huawei,Honor 3C,140
2331,Huawei,Ascend G740,150
2332,Huawei,Ascend Y511,150
2333,Huawei,Ascend W2,160
2334,Huawei,G6153,89.9
2335,Huawei,G3621L,80
2336,Huawei,Honor 3,138
2337,Huawei,Ascend G700,155
2338,Huawei,G610s,170
2339,Huawei,U8687 Cronos,
2340,Huawei,Ascend G525,155
2341,Huawei,MediaPad 7 Youth,350
2342,Huawei,MediaPad 7 Vogue,335
2343,Huawei,Ascend P6,120
2344,Huawei,Ascend Y300,130
2345,Huawei,Premia 4G M931,140
2346,Huawei,Ascend Y210D,120
2347,Huawei,Ascend P2,122
2348,Huawei,Ascend G615,145
2349,Huawei,Ascend G526,150
2350,Huawei,Ascend G350,140
2351,Huawei,Ascend G312,140
2352,Huawei,Ascend W1,130
2353,Huawei,Ascend Mate,198
2354,Huawei,Ascend D2,170
2355,Huawei,Ascend G510,150
2356,Huawei,Ascend G500,156
2357,Huawei,Ascend Y201 Pro,125
2358,Huawei,MediaPad 10 Link,620
2359,Huawei,Honor 2,145
2360,Huawei,Ascend Y,125
2361,Huawei,Summit,125
2362,Huawei,Ascend P1 LTE,135
2363,Huawei,Fusion 2 U8665,124.2
2364,Huawei,Ascend G600,145
2365,Huawei,Ascend G330,130
2366,Huawei,MediaPad 7 Lite,370
2367,Huawei,Ascend Y100,100
2368,Huawei,Ascend Y200,120
2369,Huawei,Ascend G330D U8825D,140
2370,Huawei,Ascend G300,140
2371,Huawei,Ascend P1 XL U9200E,
2372,Huawei,Ascend P1,110
2373,Huawei,Ascend Q M5660,
2374,Huawei,G6005,95
2375,Huawei,G6800,
2376,Huawei,G6310,
2377,Huawei,G5000,
2378,Huawei,Activa 4G,140
2379,Huawei,G5520,
2380,Huawei,G6609,98
2381,Huawei,Fusion U8652,117.1
2382,Huawei,MediaPad 10 FHD,580
2383,Huawei,Ascend D1 XL U9500E,132
2384,Huawei,Ascend D1,132
2385,Huawei,Ascend D quad XL,150
2386,Huawei,Ascend D quad,130
2387,Huawei,Ascend P1s,130
2388,Huawei,M886 Mercury,139
2389,Huawei,G7300,110
2390,Huawei,G7005,75
2391,Huawei,MediaPad,390
2392,Huawei,MediaPad S7-301w,390
2393,Huawei,D51 Discovery,106
2394,Huawei,U8520 Duplex,109
2395,Huawei,T8300,
2396,Huawei,U8350 Boulder,105
2397,Huawei,Impulse 4G,130
2398,Huawei,Pillar,99
2399,Huawei,U8860 Honor,140
2400,Huawei,U8850 Vision,121
2401,Huawei,Ascend II,120
2402,Huawei,U8800 Pro,130
2403,Huawei,G7206,89
2404,Huawei,U5510,90
2405,Huawei,G5500,85
2406,Huawei,G6620,
2407,Huawei,U8650 Sonic,120
2408,Huawei,U8180 IDEOS X1,100
2409,Huawei,G6608,93
2410,Huawei,G7010,100
2411,Huawei,U5900s,112
2412,Huawei,IDEOS S7 Slim,440
2413,Huawei,IDEOS S7 Slim CDMA,440
2414,Huawei,U9000 IDEOS X6,143
2415,Huawei,U8800 IDEOS X5,130
2416,Huawei,U8510 IDEOS X3,104
2417,Huawei,U8150 IDEOS,102.1
2418,Huawei,U8500 IDEOS X2,115
2419,Huawei,U7520,105
2420,Huawei,G6150,
2421,Huawei,G7002,95
2422,Huawei,U8300,104
2423,Huawei,IDEOS S7,500
2424,Huawei,C3200,80
2425,Huawei,U3100,90
2426,Huawei,U8110,110
2427,Huawei,U8100,104
2428,Huawei,U8230,
2429,Huawei,U8220,135
2430,Huawei,U7510,
2431,Huawei,U1270,80.6
2432,Huawei,U1250,90
2433,Huawei,U9130 Compass,102
2434,Huawei,G6600 Passport,102
2435,Huawei,U7310,
2436,Huawei,U9150,
2437,Huawei,U121,90
2438,Huawei,U120,90
2439,Huawei,U3300,
2440,Huawei,U1310,
2441,Huawei,U1100,
2442,Huawei,U1000,
2443,Huawei,T156,75
2444,Huawei,T158,80
2445,Huawei,T208,75
2446,Huawei,T261L,
2447,Huawei,T211,
2448,Huawei,T161L,
2449,i-mate,810-F,150
2450,i-mate,Ultimate 9502,200
2451,i-mate,Ultimate 8502,140
2452,i-mate,JAMA 201,152
2453,i-mate,JAMA 101,110
2454,i-mate,JAMA,110
2455,i-mate,Ultimate 9150,
2456,i-mate,Ultimate 8150,152
2457,i-mate,Ultimate 7150,180
2458,i-mate,Ultimate 6150,152
2459,i-mate,Ultimate 5150,
2460,i-mate,JAQ4,184
2461,i-mate,PDAL,116
2462,i-mate,JAQ3,160
2463,i-mate,SPL,102
2464,i-mate,JAQ,160
2465,i-mate,JASJAM,176
2466,i-mate,SPJAS,115
2467,i-mate,Smartflip,99
2468,i-mate,JAMin,150
2469,i-mate,JASJAR,285
2470,i-mate,K-JAM,160
2471,i-mate,SP5,106
2472,i-mate,SP5m,106
2473,i-mate,SP4m,100
2474,i-mate,JAM Black,160
2475,i-mate,JAM,150
2476,i-mate,PDA2,190
2477,i-mate,PDA2k,210
2478,i-mate,SP3i,102
2479,i-mate,SP3,106.3
2480,i-mate,Pocket PC,190
2481,i-mate,Smartphone2,130
2482,i-mate,Smartphone,130
2483,i-mobile,i858,
2484,i-mobile,8500,
2485,i-mobile,5230,
2486,i-mobile,Hitz 2206,
2487,i-mobile,5220,
2488,i-mobile,TV658 Touch&Move,
2489,i-mobile,Hitz 212,80
2490,i-mobile,Hitz 210,
2491,i-mobile,TV650 Touch,
2492,i-mobile,TV550 Touch,
2493,i-mobile,TV 630,102
2494,i-mobile,TV 628,109.5
2495,i-mobile,TV 620,98
2496,i-mobile,TV 536,
2497,i-mobile,638CG,
2498,i-mobile,Hitz 232CG,
2499,i-mobile,TV 535,90
2500,i-mobile,627,90
2501,i-mobile,TV 533,105
2502,i-mobile,TV 530,105
2503,i-mobile,TV 523,98
2504,i-mobile,522,93.6
2505,i-mobile,320,95
2506,i-mobile,319,80
2507,i-mobile,TV 626,90
2508,i-mobile,902,94
2509,i-mobile,625,90
2510,i-mobile,903,88
2511,i-mobile,613,74.5
2512,i-mobile,520,80
2513,i-mobile,518,101
2514,i-mobile,510,75
2515,i-mobile,318,85.9
2516,i-mobile,315,80
2517,i-mobile,202,95
2518,i-mobile,201,73
2519,i-mobile,101,69.6
2520,Icemobile,Mash,
2521,Icemobile,G8,320
2522,Icemobile,Prime 5.0 Plus,
2523,Icemobile,Prime 5.0,
2524,Icemobile,Prime 4.0 Plus,
2525,Icemobile,Gravity 4.0,316
2526,Icemobile,Rock 2.4,60
2527,Icemobile,Prime 5.5,
2528,Icemobile,Prime 3.5,
2529,Icemobile,Prime 4.0,
2530,Icemobile,Apollo Touch 3G,100
2531,Icemobile,Apollo 3G,100
2532,Icemobile,G7 Pro,307
2533,Icemobile,G3,300
2534,Icemobile,Prime 4.5,
2535,Icemobile,Charm II,
2536,Icemobile,G10,
2537,Icemobile,Gravity Pro,240
2538,Icemobile,Sol III,
2539,Icemobile,Hydro,85
2540,Icemobile,Rock Bold,46
2541,Icemobile,G2,450
2542,Icemobile,Gprime Extreme,125
2543,Icemobile,G7,450
2544,Icemobile,G5,345
2545,Icemobile,Tropical 3,
2546,Icemobile,Quattro,
2547,Icemobile,Prime Plus,135
2548,Icemobile,Submarine,135
2549,Icemobile,Charm,
2550,Icemobile,Apollo Touch,
2551,Icemobile,Apollo,
2552,Icemobile,Sol II,65
2553,Icemobile,Diamond Dust,
2554,Icemobile,Blizzard,
2555,Icemobile,Rock Lite,51
2556,Icemobile,Cenior,
2557,Icemobile,Acqua,168
2558,Icemobile,Prime,
2559,Icemobile,Rock Mini,46
2560,Icemobile,Twilight II,100
2561,Icemobile,Fuego,90
2562,Icemobile,Hurricane II,90
2563,Icemobile,Sol,59
2564,Icemobile,Twister,90
2565,Icemobile,Wave,86
2566,Icemobile,Tornado II,101
2567,Icemobile,Storm,
2568,Icemobile,Clima II,106
2569,Icemobile,Flurry II,
2570,Icemobile,Shine,126
2571,Icemobile,Crystal,
2572,Icemobile,Comet II,90
2573,Icemobile,Viento II,
2574,Icemobile,Rock,
2575,Icemobile,Tropical,81
2576,Icemobile,Tropical II,
2577,Icemobile,Rainbow II,78
2578,Icemobile,Rainbow,80
2579,Icemobile,Twilight,103
2580,Innostream,INNO A20,105
2581,Innostream,INNO P10,94
2582,Innostream,INNO A10,86
2583,Innostream,INNO 75,80
2584,Innostream,INNO 50,90
2585,Innostream,INNO 36,76
2586,Innostream,INNO 79,85
2587,Innostream,INNO 78,85
2588,Innostream,INNO 30,76
2589,Innostream,INNO 55,88
2590,Innostream,INNO 70,88
2591,Innostream,INNO 99,91
2592,Innostream,INNO 90,88
2593,Innostream,INNO 89,98
2594,Innostream,INNO 80,97
2595,Innostream,INNO 120,81
2596,Innostream,INNO 110,80
2597,Innostream,INNO 100,80
2598,iNQ,Cloud Touch,122
2599,iNQ,Cloud Q,
2600,iNQ,Chat 3G,122
2601,iNQ,Mini 3G,90
2602,iNQ,iNQ1,110
2603,Intex,Aqua Craze,165
2604,Intex,Aqua GenX,175
2605,Intex,Aqua Ace,121.5
2606,Intex,Aqua Trend,158.5
2607,Intex,IRist Smartwatch,83
2608,Intex,Aqua 4G+,136.5
2609,Intex,Aqua Xtreme II,132
2610,Intex,Aqua Y2 Remote,110
2611,Intex,Aqua Xtreme,119.5
2612,Intex,Aqua Star L,130
2613,Intex,Aqua Star 2,122
2614,Intex,Aqua Speed,120
2615,Intex,Aqua Power,160
2616,Intex,Aqua Power +,156
2617,Intex,Aqua 4.5E,137
2618,Jolla,Jolla C,150
2619,Jolla,Tablet,384
2620,Jolla,Jolla,141
2621,Karbonn,Titanium Mach Two S360,112
2622,Karbonn,Titanium Wind W4,
2623,Karbonn,Titanium S99,
2624,Karbonn,Sparkle V,138
2625,Karbonn,Titanium S19,
2626,Karbonn,Smart A12 Star,130
2627,Karbonn,Titanium S1 Plus,
2628,Karbonn,Titanium Hexa,
2629,Karbonn,Titanium Octane Plus,
2630,Karbonn,Titanium Octane,
2631,Karbonn,Titanium X,143
2632,Karbonn,A16,
2633,Karbonn,A12+,
2634,Karbonn,Titanium S5 Plus,104.5
2635,Karbonn,S7 Titanium,
2636,Karbonn,S9 Titanium,
2637,Karbonn,A10,
2638,Karbonn,A5,
2639,Karbonn,A37,335
2640,Karbonn,A34,335
2641,Karbonn,A25,150
2642,Karbonn,A7 Star,
2643,Karbonn,A4+,87.5
2644,Karbonn,A2+,110
2645,Karbonn,A27 Retina,126.5
2646,Karbonn,A111,
2647,Karbonn,A6,114.5
2648,Karbonn,A4,75
2649,Karbonn,A3,90
2650,Karbonn,A2,110
2651,Karbonn,S5 Titanium,200
2652,Karbonn,S1 Titanium,
2653,Karbonn,Smart Tab 9,
2654,Karbonn,Smart Tab 8,
2655,Karbonn,Smart Tab 10,
2656,Karbonn,Smart Tab2,
2657,Karbonn,Smart Tab 7,
2658,Karbonn,KT21 Express,
2659,Karbonn,K65 Buzz,
2660,Karbonn,K9 Jumbo,112
2661,Karbonn,A9,
2662,Karbonn,KT62,85
2663,Karbonn,K52 Groovster,
2664,Karbonn,K309 Boombastic,85
2665,Karbonn,K4+ Titan,95
2666,Karbonn,K707 Spy II,100
2667,Karbonn,K451+ Sound Wave,
2668,Karbonn,K102+ Flair,80
2669,Karbonn,KC540 Blaze,80
2670,Karbonn,K1+ Stereo,78
2671,Karbonn,A1+,130
2672,Karbonn,A21,
2673,Karbonn,A11,
2674,Karbonn,K36+ Jumbo Mini,92
2675,Karbonn,K101+ Media Champ,69
2676,Karbonn,K440,
2677,Karbonn,A9+,
2678,Karbonn,K11+,61
2679,Karbonn,A15,
2680,Karbonn,A30,280
2681,Kyocera,DuraForce Pro,230
2682,Kyocera,DuraForce XD,307
2683,Kyocera,DuraForce,200
2684,Kyocera,Hydro Life,136
2685,Kyocera,Brigadier,187.1
2686,Kyocera,Hydro Elite,128
2687,Kyocera,Hydro Xtrm,139
2688,Kyocera,Torque E6710,168.5
2689,Kyocera,Hydro C5170,120
2690,Kyocera,Rise C5155,158
2691,Kyocera,Milano C5121,158
2692,Kyocera,Milano C5120,158
2693,Kyocera,Presto S1350,76
2694,Kyocera,Brio,105
2695,Kyocera,Echo,193
2696,Kyocera,DuraCore E4210,126
2697,Kyocera,DuraMax,144
2698,Kyocera,E4600,85
2699,Kyocera,Solo E4000,90
2700,Kyocera,E3500,84
2701,Kyocera,E2500,69
2702,Kyocera,S1600,59
2703,Kyocera,TG 200,75
2704,Lava,A44,141
2705,Lava,A77,140
2706,Lava,Z25,163
2707,Lava,Z10,148
2708,Lava,X28 Plus,175
2709,Lava,A73,
2710,Lava,X19,
2711,Lava,A55,
2712,Lava,A50,
2713,Lava,X50 Plus,158
2714,Lava,X41 Plus,156
2715,Lava,A51,
2716,Lava,A76+,135
2717,Lava,A97,160
2718,Lava,X28,
2719,Lava,P7+,
2720,Lava,A48,116.4
2721,Lava,X38,
2722,Lava,A32,92
2723,Lava,A68,
2724,Lava,X50,
2725,Lava,X17,
2726,Lava,X81,
2727,Lava,X46,
2728,Lava,A89,157
2729,Lava,A82,
2730,Lava,A79,134
2731,Lava,A59,155
2732,Lava,A67,152
2733,Lava,V2 s,129
2734,Lava,V2 3GB,
2735,Lava,A76,135
2736,Lava,A72,142
2737,Lava,X11,141
2738,Lava,A88,157
2739,Lava,Iris Fuel F2,
2740,Lava,A71,
2741,Lava,P7,153.1
2742,Lava,V5,153.2
2743,Lava,X3,142
2744,Lava,Iris Atom 3,150
2745,Lava,Iris Atom,110
2746,Lava,X10,133
2747,Lava,Iris Atom 2X,130
2748,Lava,Iris Atom X,
2749,Lava,Fuel F1,148
2750,Lava,Iris Fuel F1 Mini,
2751,Lava,Flair E2,
2752,Lava,Pixel V2,128
2753,Lava,Iris Atom 2,
2754,Lava,Flair Z1,
2755,Lava,Pixel V1,135
2756,Lava,Flair P1i,
2757,Lava,Iris X1 Atom S,
2758,Lava,Icon,143
2759,Lava,Iris X1 Grand,152
2760,Lava,Iris X1 mini,116
2761,Lava,Iris Alfa,158
2762,Lava,Iris X8,160
2763,Lava,Iris 470,
2764,Lava,Iris 465,146
2765,Lava,Iris 401,
2766,Lava,Iris 350,
2767,Lava,Iris 348,
2768,Lava,Iris 325 Style,
2769,Lava,Iris Fuel 60,174
2770,Lava,Iris Win1,
2771,Lava,Iris 250,
2772,Lava,Iris 400s,
2773,Lava,Iris 352 Flair,
2774,Lava,Iris 404 Flair,
2775,Lava,Iris 400Q,
2776,Lava,Iris 410,
2777,Lava,Iris Fuel 50,160
2778,Lava,Iris 310 Style,
2779,Lava,Iris 360 Music,
2780,Lava,Iris 460,
2781,Lava,Iris X5,134
2782,Lava,Iris Pro 30+,116
2783,Lava,Iris 402e,100
2784,Lava,Iris 350m,
2785,Lava,3G 412,120
2786,Lava,Iris X1,138
2787,Lava,3G 415,119
2788,Lava,3G 354,103.8
2789,Lava,Iris 504q+,149
2790,Lava,Iris 356,112
2791,Lava,Iris 450 Colour,136
2792,Lava,Iris 406Q,
2793,Lava,Iris 550Q,177
2794,Lava,Iris Pro 20,112
2795,Lava,Iris Pro 30,114
2796,Lava,Iris 401e,133
2797,Lava,Iris 349S,115.4
2798,Lava,Iris 349+,115.4
2799,Lava,Iris 404e,113
2800,Lava,Iris 503e,175
2801,Lava,Iris 506Q,143.5
2802,Lava,Iris 505,
2803,Lava,Iris 504q,140
2804,Lava,3G 402+,124
2805,Lava,3G 402,124
2806,Lava,Iris 405+,127
2807,Lava,Iris 503,175
2808,LeEco,Le Pro 3 AI Edition,168
2809,LeEco,Le Pro3 Elite,175
2810,LeEco,Le S3,153
2811,LeEco,Le Pro3,175
2812,LeEco,Le Max 2,185
2813,LeEco,Le 2 Pro,153
2814,LeEco,Le 2,153
2815,LeEco,Le Max,204
2816,LeEco,Le 1s,169
2817,Lenovo,Tab 4 10 Plus,475
2818,Lenovo,Tab 4 10,500
2819,Lenovo,Tab 4 8 Plus,300
2820,Lenovo,Tab 4 8,310
2821,Lenovo,Tab3 8 Plus,329
2822,Lenovo,ZUK Edge,160
2823,Lenovo,A6600 Plus,142
2824,Lenovo,A6600,142
2825,Lenovo,B,144
2826,Lenovo,A Plus,146
2827,Lenovo,P2,177
2828,Lenovo,K6 Note,169
2829,Lenovo,K6 Power,145
2830,Lenovo,K6,140
2831,Lenovo,Yoga Tab 3 Plus,637
2832,Lenovo,Vibe A,132
2833,Lenovo,C2 Power,155.6
2834,Lenovo,C2,139
2835,Lenovo,Phab2 Plus,218
2836,Lenovo,Phab2,225
2837,Lenovo,Phab2 Pro,259
2838,Lenovo,ZUK Z2,149
2839,Lenovo,Vibe C,166
2840,Lenovo,ZUK Z2 Pro,145
2841,Lenovo,Tab3 10,509
2842,Lenovo,Tab3 8,329
2843,Lenovo,Tab3 7,260
2844,Lenovo,Vibe K5 Plus,142
2845,Lenovo,Vibe K5,142
2846,Lenovo,A7000 Turbo,150
2847,Lenovo,Vibe P1 Turbo,189
2848,Lenovo,K5 Note,165
2849,Lenovo,Lemon 3,142
2850,Lenovo,Vibe S1 Lite,129
2851,Lenovo,Vibe K4 Note,158
2852,Lenovo,Vibe X3 c78,
2853,Lenovo,Vibe X3,175
2854,Lenovo,A3690,140
2855,Lenovo,Yoga Tab 3 Pro,666.8
2856,Lenovo,Yoga Tab 3 8.0,467.2
2857,Lenovo,A1000,132
2858,Lenovo,Phab,250
2859,Lenovo,Phab Plus,229
2860,Lenovo,Vibe P1,189
2861,Lenovo,A6010 Plus,128
2862,Lenovo,A6010,128
2863,Lenovo,Vibe P1m,148
2864,Lenovo,Vibe S1,132
2865,Lenovo,ZUK Z1,175
2866,Lenovo,A2010,137
2867,Lenovo,A616,174
2868,Lenovo,A3900,157
2869,Lenovo,K80,158
2870,Lenovo,S60,128
2871,Lenovo,A6000 Plus,128
2872,Lenovo,A1900,117
2873,Lenovo,K3 Note,150
2874,Lenovo,Vibe Shot,145
2875,Lenovo,A7000 Plus,140
2876,Lenovo,A7000,140
2877,Lenovo,A5000,160
2878,Lenovo,Tab 2 A10-70,509
2879,Lenovo,Tab 2 A8-50,360
2880,Lenovo,P70,149
2881,Lenovo,Tab 2 A7-30,269
2882,Lenovo,Tab 2 A7-20,269
2883,Lenovo,Tab 2 A7-10,269
2884,Lenovo,A6000,128
2885,Lenovo,P90,156
2886,Lenovo,Vibe X2 Pro,140
2887,Lenovo,K3,128
2888,Lenovo,Golden Warrior Note 8,170
2889,Lenovo,A916,173
2890,Lenovo,S856,175
2891,Lenovo,A319,130
2892,Lenovo,S90 Sisley,129
2893,Lenovo,S580,129
2894,Lenovo,A606,170
2895,Lenovo,Yoga Tablet 2 Pro,948
2896,Lenovo,Yoga Tablet 2 10.1,619
2897,Lenovo,Yoga Tablet 2 8.0 ,419
2898,Lenovo,Tab S8,299
2899,Lenovo,Vibe X2,120
2900,Lenovo,Vibe Z2,158
2901,Lenovo,A850+,161
2902,Lenovo,Vibe Z2 Pro,179
2903,Lenovo,Golden Warrior A8,180
2904,Lenovo,Golden Warrior S8,146
2905,Lenovo,S939,171.5
2906,Lenovo,S750,145
2907,Lenovo,A889,192
2908,Lenovo,A680,165
2909,Lenovo,A316i,121
2910,Lenovo,A328,
2911,Lenovo,A536,148
2912,Lenovo,A526,145
2913,Lenovo,A10-70 A7600,550
2914,Lenovo,A8-50 A5500,360
2915,Lenovo,A7-50 A3500,320
2916,Lenovo,A7-30 A3300,327
2917,Lenovo,Yoga Tablet 10 HD+,615
2918,Lenovo,S860,190
2919,Lenovo,S850,140
2920,Lenovo,S660,151
2921,Lenovo,A880,196
2922,Lenovo,A859,163.3
2923,Lenovo,S930,170
2924,Lenovo,S650,126
2925,Lenovo,Vibe Z K910,145.2
2926,Lenovo,Yoga Tablet 10,605
2927,Lenovo,Yoga Tablet 8,401
2928,Lenovo,A630,159
2929,Lenovo,A516,146
2930,Lenovo,Vibe X S960,121
2931,Lenovo,S5000,244.9
2932,Lenovo,A850,184
2933,Lenovo,A706,130
2934,Lenovo,P780,176
2935,Lenovo,S820,143
2936,Lenovo,A390,131
2937,Lenovo,A369i,120
2938,Lenovo,A269i,112
2939,Lenovo,S920,159
2940,Lenovo,IdeaTab S6000H,560
2941,Lenovo,IdeaTab S6000F,560
2942,Lenovo,IdeaTab S6000L,560
2943,Lenovo,IdeaTab S6000,562.5
2944,Lenovo,IdeaTab A3000,339
2945,Lenovo,IdeaTab A1000,340
2946,Lenovo,K900,162
2947,Lenovo,S890,176
2948,Lenovo,IdeaTab A2107,400
2949,Lenovo,A830,165.4
2950,Lenovo,A820,151
2951,Lenovo,A800,155
2952,Lenovo,A789,154.8
2953,Lenovo,A690,134
2954,Lenovo,S720,140
2955,Lenovo,P770,161
2956,Lenovo,A60+,135
2957,Lenovo,S560,155
2958,Lenovo,S880,196
2959,Lenovo,A660,138
2960,Lenovo,K860,193.5
2961,Lenovo,P700i,162
2962,Lenovo,A65,
2963,Lenovo,A335,102
2964,Lenovo,A185,93
2965,Lenovo,S800,124
2966,Lenovo,Q350,100
2967,Lenovo,Q330,87
2968,Lenovo,A336,92
2969,Lenovo,E156,70.2
2970,Lenovo,LePhone S2,120
2971,Lenovo,A60,135
2972,Lenovo,K800,161
2973,Lenovo,IdeaPad S2,580
2974,Lenovo,LePad S2010,670
2975,Lenovo,LePad S2007,357
2976,Lenovo,LePad S2005,198
2977,Lenovo,IdeaPad A1,400
2978,Lenovo,IdeaPad K1,750
2979,Lenovo,ThinkPad,730
2980,Lenovo,Vibe Z3 Pro,
2981,Lenovo,ideapad,360
2982,Lenovo,A5860,149
2983,Lenovo,ZUK Z1 mini,
2984,LG,X venture,166.5
2985,LG,G6,163
2986,LG,X power2,164
2987,LG,Watch Sport,
2988,LG,Watch Style,
2989,LG,Stylo 3 Plus,150
2990,LG,Stylus 3,149
2991,LG,Harmony,141.8
2992,LG,K20 plus,140
2993,LG,K10 (2017),144
2994,LG,K8 (2017),144
2995,LG,K4 (2017),138
2996,LG,K3 (2017),132
2997,LG,G Pad III 10.1 FHD,510
2998,LG,U,135
2999,LG,V20,174
3000,LG,X Skin,122
3001,LG,X5,133
3002,LG,X max,133
3003,LG,X mach,150
3004,LG,G Pad III 8.0 FHD,
3005,LG,G Pad X 8.0,309
3006,LG,X power,139
3007,LG,X style,121
3008,LG,Stylus 2 Plus,146
3009,LG,Stylo 2,144.6
3010,LG,K5,128
3011,LG,K3,127
3012,LG,G5 SE,156
3013,LG,G5,159
3014,LG,X cam,118
3015,LG,X screen,120
3016,LG,K8,157
3017,LG,Stylus 2,145
3018,LG,K10,142
3019,LG,K7,161
3020,LG,K4,120
3021,LG,G Pad II 8.3 LTE,366
3022,LG,Ray,158
3023,LG,G Vista 2,169.8
3024,LG,G Watch R W110,62
3025,LG,Watch Urbane W150,66.5
3026,LG,Watch Urbane 2nd Edition LTE,92.7
3027,LG,V10,192
3028,LG,Nexus 5X,136
3029,LG,Zero,150
3030,LG,G Pad II 10.1,489
3031,LG,G Pad II 8.0 LTE,347
3032,LG,Wine Smart,143
3033,LG,Tribute 2,138.9
3034,LG,Bello II,155
3035,LG,G4 Beat,139
3036,LG,G360,125
3037,LG,G350,125
3038,LG,G4c,136
3039,LG,G4 Dual,155
3040,LG,G4,155
3041,LG,G Stylo,165.9
3042,LG,G4 Stylus,163
3043,LG,AKA,135
3044,LG,Watch Urbane LTE,45
3045,LG,G Watch W100,63
3046,LG,Magna,137
3047,LG,Spirit,124.4
3048,LG,Leon,140
3049,LG,Joy,128
3050,LG,G Flex2,152
3051,LG,Tribute,138.9
3052,LG,L Prime,
3053,LG,G2 Lite,153.7
3054,LG,G3 Dual-LTE,149
3055,LG,G3 Screen,182
3056,LG,F60,129.6
3057,LG,L60,119
3058,LG,L60 Dual,
3059,LG,G3 Stylus,163
3060,LG,L Bello,137
3061,LG,L Fino,145
3062,LG,G Pad 8.0 LTE,344
3063,LG,G Vista,167
3064,LG,G3 A,146.8
3065,LG,G Pad 7.0 LTE,294.8
3066,LG,L50,142
3067,LG,L30,
3068,LG,L20,
3069,LG,G Vista (CDMA),168.1
3070,LG,G3 LTE-A,154
3071,LG,G3 S Dual,
3072,LG,G3 S,134
3073,LG,L65 D280,127
3074,LG,G3 (CDMA),149.7
3075,LG,G3,149
3076,LG,450,102.9
3077,LG,L35,107
3078,LG,Volt,136.1
3079,LG,G Pad 10.1 LTE,535.8
3080,LG,G Pad 10.1,523
3081,LG,G Pad 8.0,342
3082,LG,G Pad 7.0,293
3083,LG,L80,138
3084,LG,L80 Dual,
3085,LG,Lucid 3 VS876,123.9
3086,LG,L65 Dual D285,126
3087,LG,G Pad 8.3 LTE,339.9
3088,LG,F70 D315,129.6
3089,LG,G2 mini LTE (Tegra),121
3090,LG,G2 mini LTE,121
3091,LG,G2 mini,121
3092,LG,L90 Dual D410,125
3093,LG,L90 D405,126
3094,LG,L70 D320N,124
3095,LG,L70 Dual D325,126.6
3096,LG,L45 Dual X132,
3097,LG,L40 D160,114
3098,LG,L40 Dual D170,113.4
3099,LG,G Pro 2,172
3100,LG,Optimus L4 II Tri E470,140
3101,LG,Optimus L1 II Tri E475,104.6
3102,LG,Optimus F3Q,159.9
3103,LG,GX F310L,167
3104,LG,Nexus 5,130
3105,LG,G Flex,177
3106,LG,Fireweb,122.5
3107,LG,G Pro Lite,161
