vivo,X5,GSM / CDMA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2 - X5v, TD-SCDMA - X5L| X5s,LTE band 3(1800)| 38(2600) - X5v,CDMA  LTE,Yes,Yes,2014,Available. Released 2014,143.3 x 71.1 x 6.3 mm (5.64 x 2.80 x 0.25 in),141,4.97,Dual SIM ( X5v| X5s)/ Single SIM (X5L),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Adreno 405,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,To be confirmed,microUSB 2.0| USB Host,Accelerometer| gyro| proximity| compass,Non-removable Li-Ion 2250 mAh battery,White,,http://cdn2.gsmarena.com/vv/bigpic/vivo-x5v.jpg
vivo,Xshot,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2014,Available. Released 2014,146.5 x 73.3 x 8 mm (5.77 x 2.89 x 0.31 in),148,5.22,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.2 inches (~69.4% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 4.3 (Jelly Bean),Quad-core 2.3 GHz Krait 400,Qualcomm MSM8974AA Snapdragon 801,Adreno 330,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM/ 32 GB| 3 GB RAM,13 MP| autofocus| OIS| dual-LED flash| ,8 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| EDR,Yes with A-GPS GLONASS BDS,,No,microUSB 2.0| USB Host,Accelerometer| gyro| proximity| compass,Non-removable Li-Po 2600 mAh battery,White/Black,,http://cdn2.gsmarena.com/vv/bigpic/vivo-xshot.jpg
vivo,Y22,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2013,Available. Released 2013,130.5 x 66.9 x 8.6 mm (5.14 x 2.63 x 0.34 in),126,4.44,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~63.9% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 256 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| EDR,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1900 mAh battery,White| Black,,http://cdn2.gsmarena.com/vv/bigpic/vivo-y22.jpg
vivo,Y15,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 ,,HSPA 2.8/2.2 Mbps,Yes,Yes,2013,Available. Released 2013,131.4 x 66.2 x 9 mm (5.17 x 2.61 x 0.35 in),130,4.59,Dual SIM (Micro-SIM| dual stand-by),Capacitive touchscreen  16M colors,4.5 inches (~64.1% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 256 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| EDR| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1900 mAh battery,White| Black,110,http://cdn2.gsmarena.com/vv/bigpic/vivo-y15.jpg
